texto,label_str,label_int
ese sitio está bien pe!!,NEUTRAL,1
La experiencia estuvo normal pe!!,NEUTRAL,1
todo estuvo ok mano!,NEUTRAL,1
el trato terminó en roche total pe.,NEGATIVE,0
el servicio estuvo chévere y firme oe,POSITIVE,2
nada fuera de lo común oe.,NEUTRAL,1
El producto fue regular!,NEUTRAL,1
el local está pulento oe!,POSITIVE,2
La experiencia estuvo normal.,NEUTRAL,1
El resultado fue regular.,NEUTRAL,1
el servicio fue fatal pe,NEGATIVE,0
todo fue un un roche bien feo pe!,NEGATIVE,0
El resultado salió mostro mano!,POSITIVE,2
este lugar está bien!!,NEUTRAL,1
todo fue un roche total mano.,NEGATIVE,0
la atención estuvo chévere y firme oe!,POSITIVE,2
La comida fue regular mano!!,NEUTRAL,1
el servicio estuvo chévere y firme oe!,POSITIVE,2
todo fue un palta terrible mano!,NEGATIVE,0
El trato terminó en roche total pe!!,NEGATIVE,0
todo fue chévere y firme oe.,POSITIVE,2
Todo fue un roche total mano!,NEGATIVE,0
el resultado fue regular oe!,NEUTRAL,1
Todo estuvo ok,NEUTRAL,1
el resultado salió mostro.,POSITIVE,2
el local está pulento oe,POSITIVE,2
Todo estuvo ok oe,NEUTRAL,1
la experiencia fue malísimo mano.,NEGATIVE,0
la experiencia fue fatal,NEGATIVE,0
El producto salió bacanazo total!,POSITIVE,2
Nada fuera de lo común oe,NEUTRAL,1
todo fue un roche total mano,NEGATIVE,0
el resultado fue regular,NEUTRAL,1
El servicio estuvo chévere y firme pe!,POSITIVE,2
la atención fue mostro.,POSITIVE,2
el resultado salió mostro oe,POSITIVE,2
nada fuera de lo común!!,NEUTRAL,1
Todo estuvo ok oe.,NEUTRAL,1
el producto fue regular pe!,NEUTRAL,1
El producto salió bacanazo total,POSITIVE,2
la experiencia fue malísimo oe!!,NEGATIVE,0
Todo fue un palta terrible mano,NEGATIVE,0
el trato estuvo normal oe!!,NEUTRAL,1
El local está bien pe!!,NEUTRAL,1
la atención fue mostro pe,POSITIVE,2
la experiencia estuvo normal pe!!,NEUTRAL,1
La comida fue un roche total pe,NEGATIVE,0
todo estuvo ok oe!!,NEUTRAL,1
el trato terminó en roche total!,NEGATIVE,0
la atención fue mostro oe!,POSITIVE,2
la comida fue un roche mano.,NEGATIVE,0
la atención fue mostro oe.,POSITIVE,2
este lugar estuvo fatal!!,NEGATIVE,0
todo estuvo ok mano,NEUTRAL,1
La atención estuvo chévere y firme pe.,POSITIVE,2
todo estuvo ok!!,NEUTRAL,1
La comida fue regular pe!,NEUTRAL,1
el resultado salió mostro pe!!,POSITIVE,2
el servicio estuvo chévere y firme mano!,POSITIVE,2
El servicio estuvo mostro!,POSITIVE,2
la atención fue bacanazo total oe!!,POSITIVE,2
El resultado fue regular pe.,NEUTRAL,1
el local estuvo horrible mano!,NEGATIVE,0
todo fue un un roche bien feo oe,NEGATIVE,0
el producto fue regular pe.,NEUTRAL,1
Todo fue chévere y firme!!,POSITIVE,2
el resultado fue regular mano!,NEUTRAL,1
la atención fue bacanazo total mano.,POSITIVE,2
todo estuvo ok pe!!,NEUTRAL,1
Este lugar está bien pe.,NEUTRAL,1
la comida fue un roche total mano!,NEGATIVE,0
El servicio estuvo chévere y firme mano,POSITIVE,2
todo fue un palta terrible,NEGATIVE,0
el producto salió bacanazo total mano!!,POSITIVE,2
el local está bien pe!!,NEUTRAL,1
el local está de pelos mano,POSITIVE,2
este lugar está bien,NEUTRAL,1
este lugar está bien pe!!,NEUTRAL,1
el local está de pelos pe,POSITIVE,2
el producto salió bacanazo total!,POSITIVE,2
ese sitio está bien mano!!,NEUTRAL,1
el resultado salió mostro pe.,POSITIVE,2
Todo estuvo ok pe!,NEUTRAL,1
la experiencia fue fatal pe!,NEGATIVE,0
ese sitio estuvo terrible!!,NEGATIVE,0
el local está de pelos pe.,POSITIVE,2
nada fuera de lo común pe,NEUTRAL,1
ese sitio estuvo terrible.,NEGATIVE,0
todo fue un palta terrible.,NEGATIVE,0
el trato estuvo normal pe.,NEUTRAL,1
la atención estuvo chévere y firme!!,POSITIVE,2
La experiencia estuvo normal mano.,NEUTRAL,1
todo fue un palta terrible pe.,NEGATIVE,0
la atención estuvo chévere y firme mano,POSITIVE,2
la comida salió chévere mano!,POSITIVE,2
todo estuvo ok pe.,NEUTRAL,1
Nada fuera de lo común.,NEUTRAL,1
la experiencia fue malísimo pe,NEGATIVE,0
nada fuera de lo común pe.,NEUTRAL,1
Este lugar estuvo fatal mano.,NEGATIVE,0
ese sitio estuvo terrible mano.,NEGATIVE,0
la atención estuvo pulento pe!!,POSITIVE,2
El servicio estuvo chévere y firme!,POSITIVE,2
El local está pulento pe.,POSITIVE,2
La atención fue mostro!,POSITIVE,2
el trato estuvo normal pe!,NEUTRAL,1
el resultado salió mostro oe.,POSITIVE,2
La comida fue regular oe.,NEUTRAL,1
la experiencia estuvo normal!!,NEUTRAL,1
este lugar está bacán oe,POSITIVE,2
todo fue un palta terrible mano,NEGATIVE,0
El trato terminó en roche total oe,NEGATIVE,0
todo fue chévere y firme oe,POSITIVE,2
la atención fue malísimo mano.,NEGATIVE,0
la experiencia fue malísimo pe.,NEGATIVE,0
todo fue un un roche bien feo.,NEGATIVE,0
la comida fue un roche pe!!,NEGATIVE,0
el local está de pelos oe.,POSITIVE,2
este lugar está bien!,NEUTRAL,1
El servicio fue fatal pe!!,NEGATIVE,0
este lugar está bacán oe!!,POSITIVE,2
El producto salió bacanazo total pe!,POSITIVE,2
todo estuvo ok mano,NEUTRAL,1
todo fue chévere y firme mano!,POSITIVE,2
la experiencia estuvo normal pe!,NEUTRAL,1
el local estuvo horrible!,NEGATIVE,0
este lugar está bien oe!!,NEUTRAL,1
la atención estuvo pulento mano!!,POSITIVE,2
ese sitio está bien oe!,NEUTRAL,1
Todo estuvo ok pe.,NEUTRAL,1
la atención fue malísimo.,NEGATIVE,0
la comida fue regular pe,NEUTRAL,1
la experiencia estuvo normal mano.,NEUTRAL,1
este lugar está bien oe.,NEUTRAL,1
todo fue chévere y firme pe,POSITIVE,2
ese sitio está bien!,NEUTRAL,1
la experiencia fue malísimo,NEGATIVE,0
el servicio estuvo chévere y firme mano,POSITIVE,2
el servicio fue fatal pe!!,NEGATIVE,0
el servicio estuvo mostro mano!!,POSITIVE,2
La comida fue un roche oe!,NEGATIVE,0
El producto salió bacanazo total oe.,POSITIVE,2
el servicio estuvo mostro.,POSITIVE,2
la atención estuvo pulento!!,POSITIVE,2
El trato terminó en roche total!!,NEGATIVE,0
nada fuera de lo común pe!!,NEUTRAL,1
el local está pulento!!,POSITIVE,2
este lugar está bacán pe.,POSITIVE,2
el servicio estuvo mostro pe!!,POSITIVE,2
Nada fuera de lo común pe,NEUTRAL,1
ese sitio estuvo terrible oe!,NEGATIVE,0
Todo fue un roche total!,NEGATIVE,0
la atención fue bacanazo total oe.,POSITIVE,2
todo estuvo ok pe,NEUTRAL,1
todo estuvo ok pe!!,NEUTRAL,1
el servicio estuvo chévere y firme pe!,POSITIVE,2
ese sitio está bien pe.,NEUTRAL,1
el servicio estuvo mostro!!,POSITIVE,2
todo estuvo ok pe,NEUTRAL,1
el trato terminó en roche total!!,NEGATIVE,0
el trato estuvo normal!,NEUTRAL,1
la experiencia estuvo normal oe.,NEUTRAL,1
el local está pulento oe.,POSITIVE,2
la experiencia estuvo normal oe!!,NEUTRAL,1
el local estuvo horrible pe,NEGATIVE,0
el resultado salió mostro mano,POSITIVE,2
el local está pulento.,POSITIVE,2
Este lugar está bacán oe!,POSITIVE,2
el resultado salió chévere y firme pe.,POSITIVE,2
la comida fue regular pe.,NEUTRAL,1
todo fue un un roche bien feo,NEGATIVE,0
el trato estuvo normal oe!,NEUTRAL,1
nada fuera de lo común oe!!,NEUTRAL,1
este lugar está bacán mano!,POSITIVE,2
todo fue chévere y firme mano.,POSITIVE,2
la comida fue un roche total pe!!,NEGATIVE,0
el servicio estuvo mostro pe,POSITIVE,2
este lugar estuvo fatal mano!,NEGATIVE,0
la comida fue regular pe!,NEUTRAL,1
El servicio estuvo chévere y firme oe.,POSITIVE,2
nada fuera de lo común!,NEUTRAL,1
el servicio fue fatal oe!!,NEGATIVE,0
el resultado salió chévere y firme mano.,POSITIVE,2
todo fue un palta terrible,NEGATIVE,0
la experiencia fue malísimo pe!,NEGATIVE,0
el producto fue regular,NEUTRAL,1
ese sitio está bien mano,NEUTRAL,1
el local está de pelos oe,POSITIVE,2
la atención fue bacanazo total oe,POSITIVE,2
el servicio estuvo mostro oe,POSITIVE,2
Este lugar está bien mano,NEUTRAL,1
El servicio estuvo mostro.,POSITIVE,2
este lugar está bacán.,POSITIVE,2
el resultado salió chévere y firme pe!!,POSITIVE,2
la atención fue mostro mano!,POSITIVE,2
ese sitio está bien,NEUTRAL,1
este lugar estuvo fatal oe.,NEGATIVE,0
la atención fue mostro oe,POSITIVE,2
Nada fuera de lo común mano.,NEUTRAL,1
el local está bien,NEUTRAL,1
el resultado salió de pelos.,POSITIVE,2
la comida fue un roche oe,NEGATIVE,0
La atención fue malísimo pe!!,NEGATIVE,0
la comida fue un roche total!,NEGATIVE,0
Todo fue un palta terrible oe!,NEGATIVE,0
el resultado salió de pelos oe.,POSITIVE,2
El trato terminó en roche total mano!,NEGATIVE,0
la comida fue un roche pe.,NEGATIVE,0
el trato terminó en roche total oe!,NEGATIVE,0
el trato estuvo normal pe,NEUTRAL,1
El producto fue regular oe.,NEUTRAL,1
todo fue un palta terrible oe!,NEGATIVE,0
el producto salió bacanazo total pe!!,POSITIVE,2
todo estuvo ok pe!,NEUTRAL,1
este lugar está bien oe!!,NEUTRAL,1
el local está de pelos mano.,POSITIVE,2
la atención estuvo pulento oe,POSITIVE,2
todo fue un roche total oe.,NEGATIVE,0
Nada fuera de lo común!,NEUTRAL,1
todo fue un roche total oe,NEGATIVE,0
Todo estuvo ok,NEUTRAL,1
todo fue un un roche bien feo oe!!,NEGATIVE,0
el servicio fue fatal!!,NEGATIVE,0
todo estuvo ok pe.,NEUTRAL,1
todo fue un palta terrible mano!,NEGATIVE,0
todo estuvo ok mano!!,NEUTRAL,1
la atención estuvo chévere y firme oe.,POSITIVE,2
todo fue un palta terrible mano!!,NEGATIVE,0
la experiencia fue malísimo.,NEGATIVE,0
todo estuvo ok pe,NEUTRAL,1
nada fuera de lo común.,NEUTRAL,1
este lugar está bien pe!!,NEUTRAL,1
el resultado salió de pelos oe,POSITIVE,2
todo fue un palta terrible mano.,NEGATIVE,0
el servicio estuvo chévere y firme,POSITIVE,2
todo fue un palta terrible mano!,NEGATIVE,0
la comida salió chévere pe,POSITIVE,2
la experiencia estuvo normal,NEUTRAL,1
la comida fue regular oe!!,NEUTRAL,1
el local está pulento pe.,POSITIVE,2
La atención fue bacanazo total pe.,POSITIVE,2
El resultado salió mostro mano,POSITIVE,2
todo fue un palta terrible!,NEGATIVE,0
el trato terminó en roche total pe!,NEGATIVE,0
el local está pulento mano,POSITIVE,2
la experiencia fue fatal!,NEGATIVE,0
La atención estuvo pulento pe.,POSITIVE,2
el resultado salió chévere y firme,POSITIVE,2
todo estuvo ok mano!,NEUTRAL,1
el servicio estuvo mostro mano,POSITIVE,2
el servicio fue fatal!,NEGATIVE,0
este lugar está bien mano,NEUTRAL,1
la atención estuvo chévere y firme.,POSITIVE,2
este lugar está bacán oe.,POSITIVE,2
este lugar estuvo fatal!,NEGATIVE,0
todo fue un palta terrible pe!!,NEGATIVE,0
todo fue un palta terrible!!,NEGATIVE,0
El servicio estuvo chévere y firme mano!!,POSITIVE,2
el producto salió bacanazo total oe.,POSITIVE,2
la atención fue mostro pe.,POSITIVE,2
El resultado fue regular oe,NEUTRAL,1
todo fue un palta terrible pe,NEGATIVE,0
Ese sitio está bien oe!,NEUTRAL,1
el trato estuvo normal pe!!,NEUTRAL,1
el local estuvo horrible oe!!,NEGATIVE,0
ese sitio está bien oe!,NEUTRAL,1
La atención fue bacanazo total oe!!,POSITIVE,2
El resultado salió chévere y firme mano.,POSITIVE,2
El servicio fue fatal pe!,NEGATIVE,0
todo fue un palta terrible oe,NEGATIVE,0
Ese sitio está bien mano,NEUTRAL,1
el servicio estuvo chévere y firme pe.,POSITIVE,2
El resultado salió chévere y firme mano!!,POSITIVE,2
todo fue un roche total,NEGATIVE,0
Todo fue un roche total pe!,NEGATIVE,0
la atención fue malísimo pe!,NEGATIVE,0
todo fue un palta terrible oe!,NEGATIVE,0
El resultado salió de pelos oe,POSITIVE,2
ese sitio está bien mano!,NEUTRAL,1
la experiencia fue fatal!!,NEGATIVE,0
todo estuvo ok pe,NEUTRAL,1
la experiencia estuvo normal pe.,NEUTRAL,1
el producto fue regular pe!!,NEUTRAL,1
El resultado salió mostro pe!!,POSITIVE,2
este lugar está bien mano!!,NEUTRAL,1
el servicio fue fatal mano.,NEGATIVE,0
el servicio estuvo chévere y firme pe!!,POSITIVE,2
La experiencia fue fatal pe,NEGATIVE,0
La comida fue un roche!,NEGATIVE,0
este lugar estuvo fatal pe,NEGATIVE,0
el trato terminó en roche total mano.,NEGATIVE,0
el resultado salió de pelos pe!,POSITIVE,2
el local estuvo horrible pe.,NEGATIVE,0
el resultado salió chévere y firme pe!,POSITIVE,2
Todo fue un un roche bien feo,NEGATIVE,0
la atención estuvo pulento mano.,POSITIVE,2
la experiencia fue malísimo oe.,NEGATIVE,0
la atención fue malísimo pe,NEGATIVE,0
todo fue un un roche bien feo oe!,NEGATIVE,0
el servicio fue fatal mano,NEGATIVE,0
nada fuera de lo común oe.,NEUTRAL,1
el trato estuvo normal mano.,NEUTRAL,1
todo fue un palta terrible pe.,NEGATIVE,0
La comida fue un roche total.,NEGATIVE,0
todo estuvo ok oe!!,NEUTRAL,1
todo fue un palta terrible mano!!,NEGATIVE,0
el producto salió bacanazo total mano!,POSITIVE,2
la experiencia fue fatal mano!,NEGATIVE,0
ese sitio está bien oe,NEUTRAL,1
La atención fue mostro.,POSITIVE,2
nada fuera de lo común oe,NEUTRAL,1
este lugar está bien mano.,NEUTRAL,1
este lugar está bien.,NEUTRAL,1
Todo fue un palta terrible pe!!,NEGATIVE,0
todo estuvo ok pe!,NEUTRAL,1
la atención fue mostro mano!!,POSITIVE,2
Ese sitio está bien oe,NEUTRAL,1
todo estuvo ok pe!,NEUTRAL,1
el resultado salió de pelos mano!!,POSITIVE,2
la atención fue bacanazo total pe!!,POSITIVE,2
la atención estuvo chévere y firme pe!,POSITIVE,2
este lugar está bien mano!,NEUTRAL,1
el resultado salió de pelos!!,POSITIVE,2
La experiencia fue malísimo mano,NEGATIVE,0
el producto fue regular mano!,NEUTRAL,1
todo estuvo ok mano.,NEUTRAL,1
la atención fue mostro pe!,POSITIVE,2
la comida fue regular mano.,NEUTRAL,1
el local está de pelos oe!,POSITIVE,2
Todo fue un palta terrible oe!!,NEGATIVE,0
la comida fue un roche oe!!,NEGATIVE,0
el resultado salió mostro oe!!,POSITIVE,2
ese sitio estuvo terrible!,NEGATIVE,0
ese sitio está bien pe!,NEUTRAL,1
la comida fue regular.,NEUTRAL,1
la atención fue malísimo mano!!,NEGATIVE,0
este lugar está bien mano.,NEUTRAL,1
todo estuvo ok oe,NEUTRAL,1
la atención fue mostro pe!!,POSITIVE,2
todo fue un palta terrible pe.,NEGATIVE,0
el resultado salió mostro!!,POSITIVE,2
El resultado salió mostro mano.,POSITIVE,2
El resultado salió de pelos mano,POSITIVE,2
la atención fue bacanazo total mano,POSITIVE,2
el producto salió bacanazo total mano,POSITIVE,2
Nada fuera de lo común!!,NEUTRAL,1
todo estuvo ok oe.,NEUTRAL,1
Todo fue un un roche bien feo oe.,NEGATIVE,0
el trato terminó en roche total mano!,NEGATIVE,0
el servicio estuvo mostro mano!,POSITIVE,2
ese sitio está bien mano.,NEUTRAL,1
Todo estuvo ok!,NEUTRAL,1
el producto salió bacanazo total pe,POSITIVE,2
el local está de pelos!,POSITIVE,2
el resultado salió mostro pe,POSITIVE,2
El trato estuvo normal pe!!,NEUTRAL,1
la experiencia fue fatal oe!!,NEGATIVE,0
Todo estuvo ok mano,NEUTRAL,1
el local está bien mano!,NEUTRAL,1
Nada fuera de lo común oe,NEUTRAL,1
Todo fue un roche total mano.,NEGATIVE,0
todo fue un palta terrible oe!!,NEGATIVE,0
Este lugar está bacán pe!!,POSITIVE,2
todo fue chévere y firme mano!!,POSITIVE,2
el resultado fue regular oe,NEUTRAL,1
el servicio estuvo chévere y firme mano!!,POSITIVE,2
el servicio estuvo chévere y firme mano!!,POSITIVE,2
el trato estuvo normal.,NEUTRAL,1
Todo fue un palta terrible,NEGATIVE,0
la atención fue bacanazo total.,POSITIVE,2
nada fuera de lo común!,NEUTRAL,1
la atención fue mostro!,POSITIVE,2
la atención fue malísimo pe!!,NEGATIVE,0
la atención fue bacanazo total pe,POSITIVE,2
La atención fue bacanazo total,POSITIVE,2
todo estuvo ok oe.,NEUTRAL,1
El local está bien pe!,NEUTRAL,1
la comida fue un roche,NEGATIVE,0
la comida fue un roche total oe.,NEGATIVE,0
el resultado salió mostro pe!,POSITIVE,2
la experiencia fue malísimo oe,NEGATIVE,0
el servicio estuvo mostro pe!,POSITIVE,2
la comida fue regular mano,NEUTRAL,1
la atención estuvo pulento oe!!,POSITIVE,2
este lugar está bien!,NEUTRAL,1
la atención estuvo chévere y firme pe,POSITIVE,2
el producto salió bacanazo total!!,POSITIVE,2
El resultado salió mostro pe!,POSITIVE,2
la atención estuvo chévere y firme pe!!,POSITIVE,2
todo fue un palta terrible oe!!,NEGATIVE,0
todo fue un palta terrible pe,NEGATIVE,0
este lugar está bacán!,POSITIVE,2
el resultado fue regular oe.,NEUTRAL,1
La experiencia fue fatal mano,NEGATIVE,0
el servicio fue fatal pe.,NEGATIVE,0
todo fue un palta terrible oe!!,NEGATIVE,0
todo estuvo ok mano,NEUTRAL,1
todo fue un palta terrible pe!,NEGATIVE,0
Nada fuera de lo común,NEUTRAL,1
ese sitio está bien oe!!,NEUTRAL,1
este lugar está bacán pe!,POSITIVE,2
todo estuvo ok!!,NEUTRAL,1
el resultado fue regular pe!,NEUTRAL,1
todo fue un palta terrible oe.,NEGATIVE,0
el servicio estuvo chévere y firme mano,POSITIVE,2
la experiencia estuvo normal mano!!,NEUTRAL,1
todo fue un palta terrible oe.,NEGATIVE,0
Todo estuvo ok mano,NEUTRAL,1
la comida fue un roche mano!!,NEGATIVE,0
el servicio estuvo chévere y firme pe.,POSITIVE,2
ese sitio está bien.,NEUTRAL,1
la comida fue un roche total pe,NEGATIVE,0
la atención estuvo pulento mano!,POSITIVE,2
El resultado fue regular mano.,NEUTRAL,1
ese sitio está bien pe.,NEUTRAL,1
todo fue chévere y firme pe!,POSITIVE,2
el servicio fue fatal,NEGATIVE,0
El trato terminó en roche total oe!,NEGATIVE,0
ese sitio está bien oe.,NEUTRAL,1
ese sitio está bien mano!!,NEUTRAL,1
El resultado salió de pelos oe!!,POSITIVE,2
la experiencia fue fatal oe,NEGATIVE,0
todo fue chévere y firme,POSITIVE,2
El producto fue regular mano,NEUTRAL,1
el local está pulento pe!!,POSITIVE,2
el resultado salió de pelos mano,POSITIVE,2
la atención fue malísimo oe,NEGATIVE,0
el resultado salió chévere y firme oe!!,POSITIVE,2
este lugar estuvo fatal.,NEGATIVE,0
la comida fue un roche!,NEGATIVE,0
el resultado fue regular pe.,NEUTRAL,1
ese sitio está bien!,NEUTRAL,1
Todo estuvo ok mano!,NEUTRAL,1
todo fue un un roche bien feo pe.,NEGATIVE,0
todo fue un palta terrible,NEGATIVE,0
todo fue un palta terrible mano,NEGATIVE,0
el servicio fue fatal oe,NEGATIVE,0
El trato terminó en roche total.,NEGATIVE,0
la experiencia fue fatal oe.,NEGATIVE,0
la comida fue un roche total pe.,NEGATIVE,0
el resultado fue regular mano!!,NEUTRAL,1
todo estuvo ok mano.,NEUTRAL,1
el trato estuvo normal mano!!,NEUTRAL,1
ese sitio estuvo terrible pe.,NEGATIVE,0
Ese sitio está bien mano.,NEUTRAL,1
todo fue un palta terrible,NEGATIVE,0
El servicio fue fatal!!,NEGATIVE,0
el resultado salió mostro,POSITIVE,2
el producto fue regular oe!,NEUTRAL,1
la comida fue regular!,NEUTRAL,1
este lugar está bien pe!,NEUTRAL,1
La atención fue mostro oe.,POSITIVE,2
todo fue un palta terrible pe,NEGATIVE,0
el trato terminó en roche total pe!!,NEGATIVE,0
todo fue un palta terrible pe!!,NEGATIVE,0
la comida fue un roche oe.,NEGATIVE,0
Este lugar está bien oe.,NEUTRAL,1
el resultado salió chévere y firme mano!,POSITIVE,2
El local está de pelos!!,POSITIVE,2
el local está bien.,NEUTRAL,1
La experiencia fue fatal mano.,NEGATIVE,0
El local está de pelos!,POSITIVE,2
todo estuvo ok mano!!,NEUTRAL,1
nada fuera de lo común mano!,NEUTRAL,1
nada fuera de lo común mano.,NEUTRAL,1
todo estuvo ok oe.,NEUTRAL,1
nada fuera de lo común pe!!,NEUTRAL,1
todo estuvo ok oe!,NEUTRAL,1
todo estuvo ok mano!!,NEUTRAL,1
este lugar está bacán pe!!,POSITIVE,2
el servicio estuvo mostro pe.,POSITIVE,2
este lugar está bien mano,NEUTRAL,1
el local está de pelos oe!!,POSITIVE,2
ese sitio estuvo terrible mano,NEGATIVE,0
El servicio estuvo chévere y firme mano,POSITIVE,2
el resultado fue regular pe!!,NEUTRAL,1
Todo estuvo ok mano!!,NEUTRAL,1
La atención fue mostro oe,POSITIVE,2
todo fue un un roche bien feo!,NEGATIVE,0
